timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
463880993,463880840,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
463978644,463978489,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
464081294,464081146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
464181452,464181300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
464279100,464278950,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
464381765,464381607,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
464479409,464479256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
464582062,464581914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
464679716,464679563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
464779871,464779717,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
464882523,464882374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
464980173,464980024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
465082833,465082681,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
465180484,465180331,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
465280646,465280484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
465378282,465378134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
465480945,465480791,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
465581101,465580944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
465681253,465681098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
465781420,465781251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
465879053,465878901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
465981714,465981558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
466079355,466079208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
466179517,466179361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
466282187,466282018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
466379991,466379669,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
466482477,466482325,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
466580254,466579975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
466680277,466680128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
466778044,466777778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
466880584,466880435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
466983280,466983092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
467080890,467080742,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
467181061,467180895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
467278697,467278545,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
467381381,467381202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
467479002,467478852,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
467581669,467581509,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
467681812,467681663,0.92794937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
467779512,467779312,0.9301774,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
